segment,category,subcategory,good_trend,trend,indicator,2019,2018,2014,2009,Change 2019 vs 2018,Change 2019 vs 2014,Change 2019 vs 2009
Justic and Domestic Tranquility,crime and disaster,crime,negative,made meaningful progress,number of overall crimes reported (property + violent),8129,8429,9362,10663,-3.559141061,-13.17026276,-23.76441902
Justic and Domestic Tranquility,crime and disaster,crime,negative,made meaningful progress,number of overall arrests,8385,8571,9000,10988,-2.170108505,-6.833333333,-23.68947943
Justic and Domestic Tranquility,crime and disaster,incarceration,negative,made meaningful progress,persons in federal and state prisons,1431,1465,1562,1616,-2.320819113,-8.386683739,-11.4480198
Justic and Domestic Tranquility,crime and disaster,incarceration,negative,made meaningful progress,youth in jails,2900,3400,4200,7218,-14.70588235,-30.95238095,-59.82266556
Justic and Domestic Tranquility,crime and disaster,incarceration,negative,made meaningful progress,youth in state prisons,626,699,1035,2743,-10.4434907,-39.51690821,-77.17827197
Justic and Domestic Tranquility,crime and disaster,incarceration,negative,made meaningful progress,overall number of those sentenced to prison for property,194,209,261,268,-7.177033493,-25.67049808,-27.6119403
Justic and Domestic Tranquility,crime and disaster,incarceration,negative,made meaningful progress,overall number of those sentenced to prison for drug crimes,239,253,302,362,-5.533596838,-20.86092715,-33.97790055
Justic and Domestic Tranquility,crime and disaster,incarceration,negative,regressed notably,people sentenced to prison for public order and other offenses,204,217,221,163,-5.99078341,-7.692307692,25.15337423
Justic and Domestic Tranquility,crime and disaster,fire (non-natural disaster),negative,made meaningful progress,home structure fires per housing unit,243,262,275,279,-7.251908397,-11.63636364,-12.90322581
Justic and Domestic Tranquility,crime and disaster,fire (non-natural disaster),negative,regressed notably,other structure fires,142,136,127,118,4.411764706,11.81102362,20.33898305
Justic and Domestic Tranquility,crime and disaster,fire (non-natural disaster),negative,made meaningful progress,highway vehicle fires per mile driven,58,56,56,65,3.571428571,3.571428571,-10.76923077
Justic and Domestic Tranquility,crime and disaster,fire (non-natural disaster),negative,regressed notably,civilian deaths from all types of fire incidents,3704,3655,3275,3010,1.340629275,13.09923664,23.05647841
Justic and Domestic Tranquility,crime and disaster,disasters,negative,regressed notably,the numbers of billion-dollar disasters,14,14,9,8,0,55.55555556,75
Justic and Domestic Tranquility,crime and disaster,disasters,negative,regressed notably,the estimated costs of billion-dollar disasters,45,91,17,12,-50.54945055,164.7058824,275
Justic and Domestic Tranquility,crime and disaster,disasters,negative,regressed notably,the numbers of deaths from disasters,44,247,53,26,-82.18623482,-16.98113208,69.23076923
Justic and Domestic Tranquility,crime and disaster,disasters,negative,made meaningful progress,acres burned in wildland fires,4664,8767,3596,5922,-46.80050188,29.6996663,-21.24282337
Justic and Domestic Tranquility,crime and disaster,disasters,negative,regressed notably,acres burned per wildland fire,92,151,57,75,-39.07284768,61.40350877,22.66666667
Justic and Domestic Tranquility,safeguarding consumers and employees,consumer complaints and product safety injuries,negative,regressed notably,consumer fraud complaints,1863,1523,1526,709,22.32435982,22.08387942,162.764457
Justic and Domestic Tranquility,safeguarding consumers and employees,consumer complaints and product safety injuries,negative,made meaningful progress,median losses per fraud complaint,320,375,499,531,-14.66666667,-35.87174349,-39.73634652
Justic and Domestic Tranquility,safeguarding consumers and employees,consumer complaints and product safety injuries,negative,regressed notably,identity theft complaints,651,444,333,278,46.62162162,95.4954955,134.1726619
Justic and Domestic Tranquility,safeguarding consumers and employees,consumer complaints and product safety injuries,negative,regressed notably,other consumer complaints,957,1203,762,442,-20.44887781,25.59055118,116.5158371
Justic and Domestic Tranquility,safeguarding consumers and employees,transportation safety,negative,regressed notably,highway crashes,6756,6735,6064,5505,0.311804009,11.4116095,22.72479564
Justic and Domestic Tranquility,safeguarding consumers and employees,transportation safety,negative,made meaningful progress,highway fatalities per crash,534,547,540,615,-2.376599634,-1.111111111,-13.17073171
Justic and Domestic Tranquility,safeguarding consumers and employees,safeguarding employees,negative,made meaningful progress,workplace violations,50874,49641,57230,68981,2.483833928,-11.10606325,-26.24925704
